PRODUCT_KEY,PRODUCT_NUMBER,EDP_CODE,DESCRIPTION,SUBTYPE_CODE,SUBTYPE_DESC,TYPE_CODE,TYPE_DESC,LINE_CODE,LINE_DESC,ACTIVE_FLAG,EFF_FM_DT,EFF_TO_DT
517,1033793,4401902550,COLER-BRG-HR,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
518,1034163,4401791910,ROL-ORG-IN-714,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
519,1034577,4401969920,ASM-CLT-G28-CW6,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
520,1034597,4401967240,STOP-RING-6-L,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
521,1034822,4401952540,SCRPR-ROL-PRESS,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
522,1034948,4402085300,WEX-CH-060*374,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
523,1035216,4401981460,PS-ACC-210E,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
524,1035498,4402039580,BLADE-HR-F,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
525,1035536,4402038420,K-ROL-PICK-2,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
526,1035598,4402044230,WEX-CH-060*354,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
527,1035674,4401964280,ROLLER-SPT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
528,1035675,4401964290,K-ROLL-SPT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
529,1035759,4401966010,CASE-DRV-TRAY1,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
530,1036105,4402243690,ROL-PICK/UP-SMR,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
531,1037022,4402215130,K-BLADE-REC-545,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
532,1037450,4402292080,ROL-FED-ADU-S,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
533,1037513,4402291820,MYLAR-FEED-M,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
534,1037514,4402291830,MYLAR-FEED-S,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
535,1037814,4402308040,WIRE-CH-060*398,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
536,1037916,4402309380,SEAL-VC6-10-2.5,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
537,1041724,4402443530,SCRAPER-PRS-213,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
538,1042234,4402469880,F-COV-F-3560,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
539,1042368,4402491630,SCRAPER-212,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
540,1042913,4402969630,STAPLER-502,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
541,1042928,4402961700,PADDLE,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
542,1043238,4402858520,WH-EXPO-121E,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
543,1043689,4402841610,COVER-LEFT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
544,1043707,4402841970,TRAY,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
545,1044133,4406345040,SZ-FED-ADU-F300,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
546,1045176,4406323730,COLLER-BRG-HR35,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
547,1045422,4406554020,EPU-KIT-FC22,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
548,1045601,4406361050,ROL-PICK-UP,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
549,1045800,4406379750,THMS-HTR-U-300,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
550,1046290,4407403790,NPIN2-8,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
551,1046470,4406521290,GR-10S17-7-06,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
552,1046540,4406529890,GRID-CH-310,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
553,1050233,4407728150,BUSH-6-GCB,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
554,1054509,4407972860,STOP-RING-6-5,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
555,1058356,4408631250,WEX-PCC-060*348,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
556,1058721,44203109000,SPE-SCRAPER-50,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
557,1058727,44203114000,SCRAPER P/R,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
558,1058736,44202988000,BUSH-CLN-PRS,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
559,1058757,44203098000,LPDL-FUS-2,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
560,1058778,44203198000,ROLL-EXIT-L-320,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
561,1058799,44203868000,LID-TR-320,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
562,1058808,44203416000,K-BLADE-REC,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
563,1058850,44203850000,TERM-TR-F-320,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
564,1058870,44205189000,THRM-CS-7TA-190,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
565,1058873,44205195000,THMS-HTR-320,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
566,1058880,44204055000,RLR-GUIDE-320,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
567,1058885,44204062000,GG10H026/08H019,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
568,1058886,44204063000,GEAR -10H026-MX2,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
569,1058901,44204536000,LBL-HOT-COV.,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
570,1058902,44204542000,LBL-JAM-2,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
571,1059122,4408672480,GRID-220,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
572,1059175,4408850650,MO-KIT-8070,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
573,1059210,4409832880,BL-1350D,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
574,1059247,4409824750,BL-1210D,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
575,1059278,4409847880,SR-1550H,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
576,1059280,4409847890,BL-1550D,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
577,1059298,44202400000,DEV-KIT-3500,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
578,1059311,44201786000,K-ARM-PICK-UP-ROLL,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
